Date,ADM,CONAGRA,CPB,GMILLS,HORMEL,SMUCKER,MKC,HSY,TYSON,FMC,MOSAIC,SYSCO
3/17/1980,1.848521,0.486381,1.6416,1.06541,0.259766,,1.609375,0.84375,2,1.073287,,0.22005
3/18/1980,1.907607,0.482778,1.671875,1.084781,0.257813,,1.539063,0.854167,2,1.078708,,0.22005
3/19/1980,1.932929,0.482778,1.6875,1.091238,0.259766,,1.546875,0.864583,2,1.073287,,0.22005
3/20/1980,1.983573,0.482778,1.6875,1.097695,0.259766,,1.507813,0.864583,2,1.073287,,0.22005
3/21/1980,1.932929,0.461162,1.664063,1.078324,0.255859,,1.5,0.854167,1.888889,1.057025,,0.20964
3/24/1980,1.882285,0.461162,1.648438,1.091238,0.255859,,1.335938,0.84375,1.833333,1.002819,,0.20964
3/25/1980,1.806318,0.461162,1.632813,1.078324,0.253906,,1.34375,0.84375,1.833333,0.970295,,0.20964
3/26/1980,1.730351,0.454406,1.625,1.104152,0.253906,,1.320313,0.84375,1.833333,0.964874,,0.20964
3/27/1980,1.688148,0.439994,1.5791,1.078324,0.242188,,1.0625,0.854167,1.722222,0.943192,,0.20964
3/28/1980,1.848521,0.4472,1.6416,1.155809,0.248047,,1.171875,0.84375,1.777778,0.975716,,0.20964
3/31/1980,1.932929,0.450353,1.671875,1.168723,0.253906,,1.21875,0.875,1.777778,0.959454,,0.22005
4/1/1980,2.000455,0.439994,1.6416,1.207465,0.259766,,1.375,0.885417,1.777778,0.975716,,0.22005
4/2/1980,1.959305,0.4472,1.648438,1.23975,0.261719,,1.484375,0.869792,1.777778,0.991977,,0.22005
4/3/1980,1.932929,0.435942,1.6416,1.233293,0.259766,,1.484375,0.854167,1.777778,0.991977,,0.20964
4/7/1980,1.873844,0.439994,1.625,1.233293,0.25,,1.421875,0.848958,1.722222,0.975716,,0.22005
4/8/1980,1.899166,0.443147,1.648438,1.272035,0.25,,1.46875,0.84375,1.666667,0.986557,,0.20964
4/9/1980,1.882285,0.450353,1.679688,1.284949,0.25,,1.5,0.848958,1.666667,1.008239,,0.22005
4/10/1980,1.94981,0.461162,1.726563,1.291406,0.25,,1.5,0.854167,1.777778,1.051605,,0.22005
4/11/1980,1.966692,0.468367,1.734375,1.278492,0.244141,,1.484375,0.854167,1.888889,1.062446,,0.22005
4/14/1980,1.94981,0.461162,1.726563,1.226836,0.238281,,1.421875,0.859375,1.777778,1.051605,,0.22005
4/15/1980,1.94137,0.461162,1.734375,1.220379,0.246094,,1.40625,0.854167,1.666667,1.024501,,0.22005
4/16/1980,1.865403,0.457559,1.71875,1.213922,0.232422,,1.335938,0.854167,1.666667,1.002819,,0.22917
4/17/1980,1.823199,0.461162,1.7041,1.201008,0.228516,,1.609375,0.854167,1.666667,0.943192,,0.22917
4/18/1980,1.823199,0.461162,1.6875,1.207465,0.226563,,1.625,0.848958,1.666667,0.970295,,0.22917
4/21/1980,1.755673,0.454406,1.65625,1.207465,0.222656,,1.5625,0.859375,1.611111,0.948612,,0.22005
4/22/1980,1.959305,0.457559,1.7041,1.226836,0.224609,,1.625,0.84375,1.722222,0.981136,,0.22005
4/23/1980,1.858016,0.464764,1.671875,1.213922,0.230469,,1.5791,0.854167,1.888889,0.981136,,0.22005
4/24/1980,1.916047,0.461162,1.671875,1.181637,0.230469,,1.6416,0.859375,1.833333,0.986557,,0.22917
4/25/1980,1.959305,0.461162,1.7041,1.155809,0.230469,,1.609375,0.869792,1.777778,0.954033,,0.22917
