Date,SSTA,SOI,SP,CPI,INDPRO,PCOM,ADM,CONAGRA,CPB,GMILLS,HORMEL,SMUCKER,MKC,HSY,TYSONS,FMC,MOSAIC,SYSCO
1/1/1990,0.01,-0.1,329.079987,127.5,63.4171,114.9,7.424499,6.290532,11.90625,7.076906,1.90625,,5.125,7.96875,8.166667,9.46875,17,3.59375
2/1/1990,0.22,-3,331.890015,128,64.0517,114.4,7.795724,6.841764,11.84375,6.637828,1.90625,,5.3125,7.25,9.208333,9.09375,18.25,3.375
3/1/1990,0.09,-0.7,339.940002,128.6,64.3607,114.2,8.445368,7.29572,12.84375,7.606383,1.953125,,5.5,7.9375,9.458333,9.1875,17.375,3.70312
4/1/1990,0.19,0.3,330.799988,128.9,64.2562,114.1,8.723786,7.230869,12.6875,7.490156,1.921875,,5.15625,8.0625,9.833333,8,15.5625,3.79688
5/1/1990,0.21,2,361.230011,129.1,64.3971,114.6,9.837461,8.106356,13.46875,8.329571,2.1875,,5.8125,8.75,11.291667,9.28125,16.5,4.29688
6/1/1990,0.05,0.5,358.019989,129.9,64.6064,114.3,9.512639,9.176394,14.3125,9.285211,2.296875,,6.3125,9.40625,10.291667,8.25,17.5625,4.28125
7/1/1990,0.2,0.9,356.149994,130.5,64.5289,114.5,9.327026,8.949416,13.34375,9.530578,2.125,,6.3125,9.65625,9.833333,9.40625,17.75,4.26562
8/1/1990,0.24,-0.3,322.559998,131.6,64.7258,116.5,8.965082,8.592736,12.625,8.988188,1.859375,,5,9.5,9.5,8.84375,16.125,4
9/1/1990,0.21,-1.2,306.049988,132.5,64.8148,118.4,9.159976,8.625162,11.40625,8.419969,1.84375,,5.28125,9.03125,8.666667,7.40625,16.75,3.92188
10/1/1990,0.26,0.4,304,133.4,64.3264,120.8,8.672743,8.560311,12.375,8.587852,1.859375,,5.125,8.625,9,6.71875,17.25,4.01562
11/1/1990,0.18,-0.8,322.220001,133.7,63.5713,120.1,9.013805,9.046693,14.25,9.788859,2.171875,,5.75,8.75,10.041667,7.46875,17.375,3.9375
12/1/1990,0.39,-0.4,330.220001,134.2,63.1589,118.7,8.867636,9.597925,14.625,10.124625,2.390625,,6.4375,9.375,10.333333,7.96875,17.4375,4.20312
1/1/1991,0.48,1,343.929993,134.7,62.8801,119,7.941894,10.084306,15.15625,9.737204,2.203125,,7.5,9.9375,11.125,8.6875,19.125,4.39062
2/1/1991,0.33,0.4,367.070007,134.8,62.452,117.2,8.672743,10.862516,17.78125,11.131922,2.421875,,8.625,9.96875,12.666667,9.25,19.1875,4.625
3/1/1991,0.08,-1.1,375.220001,134.8,62.12,116.2,8.575296,11.673152,19.65625,11.932593,2.75,,10.125,10.21875,13,9.34375,21.6875,4.48438
4/1/1991,0.3,-1,375.339996,135.1,62.25,116,8.916359,11.316472,20.5625,11.545172,2.828125,,9.5,10.03125,14.416667,11.09375,20.6875,4.92188
5/1/1991,0.39,-1.7,389.829987,135.6,62.8714,116.5,8.770189,11.867704,19.4375,12.139218,2.46875,,9.3125,10.96875,14.833333,10.53125,20.75,5.375
6/1/1991,0.65,-0.2,371.160004,136,63.4441,116.4,9.208699,10.830091,18.46875,11.674313,2.421875,,10,10.1875,13.75,11,23.0625,5.125
7/1/1991,0.88,0,387.809998,136.2,63.5106,116.1,9.744655,11.673152,19.9375,13.017375,2.4375,,10.375,10.46875,12.333333,11.5,25.625,5.73438
