Year,Quarter,price,total.pce,n.durable,n.motor,n.furnishing,n.recreational,n.otherdurable,n.total.nondurable,n.food,n.clothing,n.gasoline,n.othernondurable,n.services,n.housing.utilities,n.healthcare,n.transport,n.recreation,n.food.services,n.financial,n.other.services,n.housing,n.utilities,n.outpatient,n.hospital,n.motor.services,n.public.transport,n.savings,n.pce,n.nondurable,deflator,n.energy,auerbach,hamilton,rgdp,rpg,miles,sales
1972,Q4,22.855,800.5,123.4,52.701,35,24.2,11.5,268.1,118.6,56.3,31.364,61.8,409,136.1,62.1,25.2,16.9,50.7,38.3,66.2,112.167,23.952,27.414,34.664,16.094,9.098,127.6,769.136,236.7,24.134,51.108,0,0,1.67446,,,-4.3180603
1973,Q1,23.131,825,131.8,57.07,37.1,25.5,12.2,275.5,121.1,58.3,32.524,63.5,417.7,138.6,64.4,25.6,17.6,52.7,38.7,66.9,115.031,23.528,28.54,35.905,16.375,9.195,121.7,792.476,243,24.412,51.789,0,0,2.47481,,1.10951,-2.9172157
1973,Q2,23.576,840.5,131.3,55.834,37.7,25.1,12.7,281.4,124,59,33.454,64.9,427.8,141.8,66.5,25.9,18.2,53.5,39.5,68.7,117.615,24.179,29.504,36.975,16.633,9.285,132.7,807.046,247.9,24.787,53.22,0,0,1.08865,,1.00268,8.3090958
1973,Q3,24.005,858.9,130.8,54.038,38.2,25.5,13.1,289.9,129.7,59.4,34.234,66.6,438.2,145.3,68.1,26.2,18.5,55.5,40.3,70.4,120.263,25.054,30.545,37.51,16.731,9.494,136.6,824.666,255.7,25.27,54.799,0,0,-0.5259,,0.76555,3.3601925
1973,Q4,24.496,873.9,128.2,50.489,38.9,25.3,13.6,297.7,132,60.3,37.087,68.3,448,148.3,69.7,26.6,19.1,57.6,41.3,71.3,123.047,25.223,30.833,38.888,16.841,9.756,152.3,836.813,260.6,25.773,57.723,0,1,0.94923,,0.68669,-5.4793943
1974,Q1,25.225,891.9,126.7,47.026,40.1,25.5,14,308.9,137.6,61.6,39.207,70.4,456.4,151.5,71.9,27.4,19.6,57.9,41.1,72.3,125.917,25.572,31.992,39.865,17.007,10.358,148.7,852.693,269.7,26.26,60.086,1,1,-0.85977,,-0.6296,-10.456583
1974,Q2,25.939,920.4,130.6,48.14,41.2,26.6,14.6,318,139.6,62.7,44.173,71.5,471.8,156.4,74.6,28.1,20.4,59.7,42.6,74.4,128.364,28.07,32.4,42.212,17.297,10.782,139.6,876.227,273.8,26.88,67.365,1,1,0.23768,,-0.96252,12.670004
1974,Q3,26.639,949.3,136.3,52.134,41.8,27.6,14.8,327.7,145.8,63.6,45.647,72.7,485.3,160.8,77.4,28.8,21.4,61.4,45.1,74.7,131.24,29.554,33.483,43.943,17.954,10.873,140.2,903.653,282.1,27.668,70.201,1,1,-0.94513,,-0.28208,2.6002962
1974,Q4,27.316,959.1,127.1,45.364,40.4,26.6,14.8,330.9,149.1,61.8,46.369,73.6,501,165.6,80.4,29.6,22.4,63.5,47.4,76,134.661,30.938,34.753,45.683,18.722,10.893,156.5,912.731,284.5,28.482,72.198,1,1,-0.38814,,0.08571,-2.9532274
1975,Q1,27.83,985.2,131.8,47.653,40.8,27.8,15.5,336.2,151.5,64.1,45.653,75,517.2,170,84.5,30.5,23.1,65.5,50.2,77.2,137.917,32.053,36.654,47.88,19.345,11.112,148.6,939.547,290.5,29.129,72.415,1,1,-1.2173,,0.9901,-7.9962946
