Date,SP,Energy,INDPRO,CPI,SSTA,Alico,ArcherDaniels,Conagra,Agrium,Ingredion,Hormel,Tyson,Andersons,Bunge,Monsanto,Potash,Mosaic,Altria
1/2/1990,329.079987,22.86,64.001,127.5,0.02,18.257092,4.386987,24.25,,,1.152624,6.591517,,,,0.332487,12.080336,0.778353
2/1/1990,331.890015,22.11,64.6509,128,0.36,18.897692,4.606337,26.375,,,1.152624,7.432267,,,,0.38852,12.968596,0.760371
3/1/1990,339.940002,20.39,64.9757,128.6,0.2,20.178892,4.990198,28.125,,,1.180968,7.634048,,,,0.377314,12.436056,0.821658
4/2/1990,330.799988,18.43,64.8976,128.9,0.26,17.616493,5.160258,27.875,,,1.16693,7.936719,,,,0.371351,11.13877,0.870906
5/1/1990,361.230011,18.2,65.0068,129.1,0.32,18.417242,5.819015,31.250002,,,1.328212,9.113781,,,,0.378925,11.80978,0.873498
6/1/1990,358.019989,16.7,65.2286,129.9,0,18.337168,5.626877,35.375,,,1.394623,8.306657,,,,0.382717,12.671254,0.971772
7/2/1990,356.149994,18.45,65.1543,130.5,0.15,18.257092,5.522552,34.5,,,1.295219,7.936719,,,,0.384576,12.806535,1.000507
8/1/1990,322.559998,27.31,65.3528,131.6,0.17,14.813869,5.308255,33.125,,,1.133317,7.66768,,,,0.369197,11.634106,0.943037
9/4/1990,306.049988,33.51,65.4459,132.5,0.12,12.972144,5.423653,33.25,,,1.123793,6.99508,,,,0.369197,12.186279,0.954721
10/1/1990,304,36.04,64.945,133.4,0.13,12.582654,5.13516,33,,,1.138559,7.264118,,,,0.374941,12.550049,0.994282
11/1/1990,322.220001,32.33,64.1877,133.7,0.08,11.93739,5.342846,34.875,,,1.329914,8.104876,,,,0.386656,12.640991,1.02593
12/3/1990,330.220001,27.28,63.7612,134.2,0.32,12.098706,5.256206,37,,,1.463862,8.340281,,,,0.433521,12.783005,1.101194
1/2/1991,343.929993,25.23,63.4795,134.7,0.51,11.614758,4.713226,38.875,,,1.355075,8.979258,,,,0.431254,14.02007,1.18365
2/1/1991,367.070007,20.48,63.049,134.8,0.32,14.518447,5.146959,41.875,,,1.489621,10.223577,,,,0.458955,14.065887,1.404421
3/1/1991,375.220001,19.9,62.7082,134.8,0.1,14.518447,5.089128,45,,,1.691441,10.492616,,,,0.458955,16.00528,1.456221
4/1/1991,375.339996,20.83,62.8463,135.1,0.21,13.55055,5.291536,43.625,,,1.745481,11.636044,,,,0.5282,15.267283,1.429453
5/1/1991,389.829987,21.23,63.4638,135.6,0.44,14.195815,5.21036,45.75,,,1.52368,11.978116,,,,0.512193,15.313408,1.464252
6/3/1991,371.160004,20.19,64.0488,136,0.65,13.389235,5.470878,41.75,,,1.494749,11.103312,,,,0.516192,17.129816,1.368738
7/1/1991,387.809998,21.4,64.1013,136.2,0.62,13.066603,5.789288,45,,,1.509988,9.959332,,,,0.533895,19.033129,1.460346
8/1/1991,395.429993,21.69,64.1515,136.6,0.43,15.325027,6.614923,48,,,1.568064,10.363089,,,,0.533895,20.379375,1.597759
9/3/1991,387.859985,21.89,64.7177,137,0.22,14.034499,6.582812,46.25,,,1.655179,10.497677,,,,0.546027,20.38871,1.565814
10/1/1991,392.450012,23.23,64.6012,137.2,0.91,13.002807,7.03237,42.5,,,1.515747,10.901434,,,,0.612958,17.729313,1.522395
11/1/1991,375.220001,22.46,64.5274,137.8,1.14,13.815482,7.03871,45.25,,,1.583761,10.09392,,,,0.568008,18.382498,1.470834
12/2/1991,417.089996,19.5,64.2613,138.2,1.62,13.978018,8.51716,35.5,,,1.661492,10.834144,,,,0.588438,21.291887,1.755637
1/2/1992,408.779999,18.79,63.8916,138.3,1.61,14.628158,7.649374,33.25,,,1.668819,9.757453,,,,0.643299,23.589911,1.670863
2/3/1992,412.700012,19.01,64.3381,138.6,1.62,17.066185,7.559304,27.875,,,1.473635,9.89762,,,,0.672164,23.63681,1.679067
3/2/1992,403.690002,18.92,64.902,139.1,1.5,16.578579,6.787291,27.75,,,1.366284,9.089652,,,,0.647426,20.354673,1.668951
4/1/1992,414.950012,20.23,65.3746,139.4,1.41,15.765903,6.240447,25.625,,,1.432367,8.483675,,,,0.669803,18.799803,1.71577
5/1/1992,415.350006,20.98,65.5902,139.7,1.27,13.652947,6.633399,25.875,,,1.451988,10.037501,,,,0.707246,17.339167,1.707508
6/1/1992,408.140015,22.39,65.6132,140.1,0.53,14.384356,6.085983,26.125,,,1.569717,9.229113,,,,0.715561,16.254862,1.630624
7/1/1992,424.209991,21.78,66.1891,140.5,0.27,14.303087,7.019811,27.499998,,,1.616012,10.77852,,,,0.734229,17.107887,1.772056
8/3/1992,414.029999,21.34,65.8651,140.8,-0.15,13.734215,6.639464,29,,,1.606158,10.716452,,,,0.746813,16.444424,1.8192
