Date,ADM,CONAGRA,CPB,GMILLS,HORMEL,SMUCKER,MKC,HSY,TYSONS,FMC,MOSAIC,SYSCO,ALICO,INGREDION,ANDERSONS,BUNGE,ALTRIA,SSTA
01-01-90,8.120545,7.166018,12.90625,7.399758,2.140625,,6.34375,8.875,8.416667,8.130962,17.5625,3.90625,29.75,,,,14.041667,0
01-08-90,7.981336,7.198443,12.3125,7.08982,2.03125,,5.625,8.46875,7.916667,8.130962,16.625,3.71875,29.75,,,,12.916667,0.1
1/15/1990,7.88853,6.809339,12.28125,7.180219,2.039063,,5.75,8.375,8.041667,8.076756,17.25,3.625,28.5,,,,13.083333,-0.1
1/22/1990,6.914064,6.452659,11.9375,6.844453,1.984375,,5.1875,8.0625,8.166667,7.914137,17.125,3.60938,28.25,,,,12.333333,-0.1
1/29/1990,7.378096,6.193255,12.0625,6.999422,1.898438,,4.875,8,8.291667,8.130962,17.1875,3.54688,28.5,,,,12.75,0.1
02-05-90,7.563708,6.420233,11.84375,6.999422,1.859375,,5.0625,7.9375,7.75,8.158066,18.8125,3.53125,28.5,,,,13.083333,0.1
02-12-90,7.331693,6.712062,11.71875,6.844453,1.851563,,5.375,7.53125,8.5,8.02255,18.625,3.46875,28.5,,,,12.75,0.2
2/19/1990,7.378096,6.485085,11.65625,6.534516,1.8125,,5.375,7.375,8.75,7.887034,18.375,3.25,29,,,,12.5,0.3
2/26/1990,7.842127,6.712062,12.15625,6.741141,1.921875,,5.4375,7.53125,9.291667,7.914137,18.5625,3.42188,31.5,,,,12.291667,0.3
03-05-90,7.470902,6.679637,12.21875,6.96068,2.15625,,5.125,7.875,9.208333,7.643105,18.8125,3.4375,31,,,,12.416667,0.2
03-12-90,7.842127,6.744488,12.34375,7.335187,2.109375,,5.0625,7.9375,8.958333,7.616002,18.625,3.51562,31,,,,12.875,0.1
3/19/1990,8.074142,7.166018,12.71875,7.296445,2.046875,,5.15625,7.75,9.041667,7.859931,17.8125,3.54688,30.75,,,,13.125,0.3
3/26/1990,8.445368,7.29572,12.84375,7.606383,1.953125,,5.5,7.9375,9.458333,7.968343,17.375,3.70312,31.5,,,,13.208333,0.3
04-02-90,8.862995,7.457847,13.34375,7.800094,1.875,,5.8125,8.15625,9.875,7.832828,16.5,3.875,28.5,,,,13.75,0.4
04-09-90,8.723786,7.555123,13.40625,7.877578,1.953125,,5.6875,8.40625,9.958333,7.426279,17.4375,4,29,,,,14,0.2
4/16/1990,8.120545,7.263294,12.53125,7.477242,1.953125,,5.40625,7.84375,10.041667,7.046834,16.75,3.78125,28.5,,,,13.666667,0.2
