date,price,cpi,rpo,
3-Jan,30.3,182.6,16.59364732,16.68087381
3-Feb,32.23,183.6,17.55446623,13.99310739
3-Mar,29.23,183.9,15.89450788,14.84165195
3-Apr,24.48,183.2,13.36244541,15.01938842
3-May,25.15,182.9,13.75068343,16.59630311
3-Jun,27.22,183.1,14.86619334,17.97451349
3-Jul,27.95,183.7,15.2150245,20.37723798
3-Aug,28.5,184.5,15.44715447,20.78490041
3-Sep,25.66,185.1,13.86277688,21.30995366
3-Oct,27.32,184.9,14.77555435,23.70371862
3-Nov,27.47,185,14.84864865,28.85884285
3-Dec,28.63,185.5,15.43396226,26.22449939
4-Jan,30.11,186.3,16.16210413,27.39968797
4-Feb,30.69,186.7,16.43813605,31.56458428
4-Mar,32.16,187.1,17.18866916,31.45470676
4-Apr,32.34,187.4,17.25720384,26.41887487
4-May,35.68,188.2,18.95855473,26.04156601
4-Jun,33.45,188.9,17.7077819,30.20306546
4-Jul,35.89,189.1,18.97937599,33.88221845
4-Aug,39.46,189.2,20.85623679,39.16625401
4-Sep,40.42,189.8,21.29610116,
4-Oct,45.36,190.8,23.77358491,
4-Nov,39.89,191.7,20.80855503,
4-Dec,34.07,191.7,17.77256129,
5-Jan,37.56,191.6,19.60334029,
5-Feb,39.72,192.4,20.64449064,
5-Mar,45.73,193.1,23.68203004,
5-Apr,45.25,193.7,23.36086732,
5-May,43.19,193.6,22.3088843,
5-Jun,49.28,193.7,25.44140423,
5-Jul,52.79,194.9,27.08568497,
5-Aug,58.67,196.1,29.91840898,
5-Sep,58.79,198.8,29.57243461,
5-Oct,55.31,199.1,27.78001005,
5-Nov,49.97,198.1,25.22463402,
5-Dec,50.85,198.1,25.66885411,
6-Jan,55.85,199.3,28.02308078,
6-Feb,52.8,199.4,26.47943831,
6-Mar,55.31,199.7,27.69654482,
6-Apr,62.41,200.7,31.09616343,
6-May,64.39,201.3,31.98708395,
6-Jun,63.79,201.8,31.61050545,
6-Jul,67.99,202.9,33.50911779,
6-Aug,66.45,203.8,32.60549558,
6-Sep,57.29,202.8,28.2495069,
6-Oct,52.7,201.9,26.10203071,
6-Nov,52.7,202,26.08910891,
6-Dec,54.97,203.1,27.06548498,
7-Jan,49.57,203.437,24.36626572,
7-Feb,53.77,204.226,26.3286751,
7-Mar,56.31,205.288,27.42975722,
7-Apr,60.45,205.904,29.35834175,
7-May,61.55,206.755,29.76953399,
7-Jun,65.24,207.234,31.48132063,
7-Jul,70.75,207.603,34.07946899,
7-Aug,68.28,207.667,32.87956199,
7-Sep,72.34,208.547,34.68762437,
7-Oct,78.61,209.19,37.57827812,
7-Nov,85.53,210.834,40.56746066,
7-Dec,83.21,211.445,39.35302324,
