ArgentinaIPm ,IndiaIP ,KoreaGDP ,KoreaIP ,MalaysiaGDP ,MalaysiaIP ,TaiwanGDP ,TaiwanIP ,SingaporeGDP ,SingaporeIP ,HongKongGDP ,HongKongIP ,ChinaRGDP ,ChinaIP ,ThailandGDP ,ThailandIP ,BrasilGDP ,SorAfrikaGDP ,SorAfrikaIP ,PeruGDP ,PeruIP ,ChileGDP ,ChileIP ,IndonesiaRGDP 
-0.050847,0.02346066,0.03289352,0.01500779,-0.02007805,0.04551235,-0.01726508,0.01899804,0.02502197,0.03119161,0.01101432,-0.00346396,0.02667508,0.29811628,-0.01207469,0.03988288,-0.02567785,-0.00798598,-0.01869213,0.07349777,0.0954882,0.03078066,-0.01683916,0.033641
0.03476857,-0.04497292,0.01726394,0.01184614,-0.01711234,-0.00674823,0.02934678,0.02426066,0.01367027,-0.01450001,0.01303481,0.01090162,0.02667508,-0.31173395,-0.10038285,0.00070765,0.0485434,-0.00225975,0.02446249,0.02461148,0.00960694,0.02482073,0.02405941,0.00450914
0.06346295,0.00849792,0.02097878,0.03661295,0.13954533,0.04301239,0.0213798,0.04299787,0.01388615,0.0077595,0.01580845,-0.00740777,0.02667508,0.16081139,-0.00416122,0.0056314,0.03587394,-0.00038766,-0.02603605,0.05282476,0.07845938,-0.00013173,0.00093794,0.0154593
0.00588835,-0.00747132,0.0190148,0.02430026,0.01287142,0.0330185,0.04033689,0.03600394,0.00758572,-0.00193424,0.02182254,0.00151859,0.02667508,-0.60513623,0.01031181,0.00103902,-0.03390155,-0.00172164,-0.02068491,-0.00921516,-0.04176796,0.04756665,0.04416987,0.01334262
0.01535966,0.06567018,0.01623829,0.02011037,-0.03651968,0.0332945,0.00424353,-0.01283956,0.020888,0.00096759,0.00720374,-0.00013963,0.03707909,0.83169907,-0.00957989,0.07842741,-0.00592887,-0.00703268,0.00601084,-0.07955083,-0.0557457,0.03419008,0.03596898,0.01962393
0.0439748,-0.01606126,0.01025588,-0.00181159,0.01357537,0.01883847,0.00637317,0.00306294,0.01514482,-0.00096759,0.0172626,0.04553142,0.03707909,0.00543132,-0.08665596,0.0089509,-0.00996024,-0.00615243,-0.00963476,-0.01230094,-0.03022414,0.02216325,0.02450265,0.01491678
-0.03981374,-0.01202982,0.00025893,0.00452285,0.09466694,-0.00357996,0.02344459,-0.01164447,0.02664594,0.0295682,0.01874447,-0.02417915,0.03707909,0.16241378,0.0438273,0.05238964,0.0010005,-0.01164492,-0.03155353,-0.04091776,-0.01504037,0.03930502,0.0499555,0.02080722
-0.00090766,0.01299711,0.01249829,-0.00906625,0.01710534,0.04146206,0.01681757,0.0073339,0.0239404,0.03509132,0.00953979,-0.00561999,0.03707909,0.12721987,0.05688571,0.04357731,0.01192857,-0.0085334,0.03397094,0.11820244,0.08620997,0.00710287,-0.00268097,0.00933516
-0.00045414,-0.01694343,0.01683055,0.01266985,-0.01533742,0.05797329,0.01623544,0.00904808,0.02121522,0.02331944,0.011228,-0.00308506,0.0300859,-0.05948513,0.09562516,0.01288606,0.02440336,0.00881981,0.01676017,-0.06467793,-0.03865675,0.01220282,-0.0118824,-0.00022525
0.05588805,0.01022842,0.02504416,0.01782578,0.05654044,0.05215729,0.01532972,0.00555217,0.04693232,0.0253843,0.01656614,-0.00667678,0.0300859,0.16299684,0.01254646,0.04212182,0.0200484,0.01090917,-0.01555365,0.03819623,0.01740781,0.0144751,0.002442,0.01404599
